input,output
Does U.S. tax code call for small business owners to count business purchases as personal income?,"I am going to keep things very simple and explain the common-sense reason why the accountant is right: Also, my sister in law owns a small restaurant, where they claim their accountant informed them of the same thing, where a portion of their business purchases had to be counted as taxable personal income. In this case, they said their actual income for the year (through their paychecks) was around 40-50K, but because of this detail, their taxable income came out to be around 180K, causing them to owe a huge amount of tax (30K ish). Consider them and a similarly situated couple that didn't make these purchases. Your sister in law is better off in that she has the benefit of these purchases (increasing the value of her business and her expected future income), but she's worse off because she got less pay. Presumably, she thought this was a fair trade, otherwise she wouldn't have made those purchases. So why should she pay any less in taxes? There's no reason making fair trades should reduce anyone's tax burden. Now, as the items she purchased lose value, that will be a business loss called ""depreciation"". That will be deductible. But the purchases themselves are not, and the income that generated the money to make those purchases is taxable. Generally speaking, business gains are taxable, regardless of what you do with the money (whether you pay yourself, invest it, leave it in the business, or whatever). Generally speaking, only business losses or expenses are deductible. A purchase is an even exchange of income for valuable property -- even exchanges are not deductions because the gain of the thing purchased already fairly compensates you for the cost. You don't specify the exact tax status of the business, but there are really only two types of possibilities. It can be separately taxed as a corporation or it can be treated essentially as if it didn't exist. In the former case, corporate income tax would be due on the revenue that was used to pay for the purchases. There would be no personal income tax due. But it's very unlikely this situation applies as it means all profits taken out of the business are taxed twice and so small businesses are rarely organized this way. In the latter case, which is almost certainly the one that applies, business income is treated as self-employment income. In this case, the income that paid for the purchases is taxable, self-employment income. Since a purchase is not a deductible expense, there is no deduction to offset this income. So, again, the key points are: How much she paid herself doesn't matter. Business income is taxable regardless of what you do with it. When a business pays an expense, it has a loss that is deductible against profits. But when a business makes a purchase, it has neither a gain nor a loss. If a restaurant buys a new stove, it trades some money for a stove, presumably a fair trade. It has had no profit and no loss, so this transaction has no immediate effect on the taxes. (There are some exceptions, but presumably the accountant determined that those don't apply.) When the property of a business loses value, that is usually a deductible loss. So over time, a newly-purchased stove will lose value. That is a loss that is deductible. The important thing to understand is that as far as the IRS is concerned, whether you pay yourself the money or not doesn't matter, business income is taxable and only business losses or expenses are deductible. Investments or purchases of capital assets are neither losses nor expenses. There are ways you can opt to have the business taxed separately so only what you pay yourself shows up on your personal taxes. But unless the business is losing money or needs to hold large profits against future expenses, this is generally a worse deal because money you take out of the business is taxed twice -- once as business income and again as personal income. Update: Does the business eventually, over the course of the depreciation schedule, end up getting all of the original $2,000 tax burden back? Possibly. Ultimately, the entire cost of the item is deductible. That won't necessarily translate into getting the taxes back. But that's really not the right way to think about it. The tax burden was on the income earned. Upon immediate replacement, hypothetically with the exact same model, same cost, same 'value', isn't it correct that the ""value"" of the business only went up by the amount the original item had depreciated? Yes. If you dispose of or sell a capital asset, you will have a gain or loss based on the difference between your remaining basis in the asset and whatever you got for the asset. Wouldn't the tax burden then only be $400? Approximately, yes. The disposal of the original asset would cause a loss of the difference between your remaining basis in the asset and what you got for it (which might be zero). The new asset would then begin depreciating. You are making things a bit more difficult to understand though by focusing on the amount of taxes due rather than the amount of taxable gain or loss you have. They don't always correlate directly (because tax rates can vary)."
What are 'business fundamentals'?,"From http://financial-dictionary.thefreedictionary.com/Business+Fundamentals The facts that affect a company's   underlying value. Examples of business   fundamentals include debt, cash flow,   supply of and demand for the company's   products, and so forth. For instance,   if a company does not have a   sufficient supply of products, it will   fail. Likewise, demand for the product   must remain at a certain level in   order for it to be successful. Strong   business fundamentals are considered   essential for long-term success and   stability. See also: Value Investing,   Fundamental Analysis. For a stock the basic fundamentals are the second column of numbers you see on the google finance summary page,  P/E ratio, div/yeild, EPS, shares, beta.   For the company itself it's generally the stuff on the 'financials' link  (e.g. things in the quarterly and annual report,  debt, liabilities, assets, earnings, profit etc."
Business Investment Loss from prior year,"You need to give specific dates! In the United States, you have three years to file an amended tax return. https://www.irs.gov/uac/Newsroom/Ten-Facts-about-Amended-Tax-Returns Did the restaurant fail in 2012? If so, that's probably the year to take the loss. If you need to amend your 2012 return, which you filed in 2013, you should have until 2016 to file this. The exact date may be based on when you filed 2012 taxes!"
Would the purchase of a car for a business through the use of a business loan be considered a business expense?,"You don't say what country you live in. If it's the U.S., the IRS has very specific rules for business use of a car. See, for starters at least, http://www.irs.gov/publications/p463/ch04.html. The gist of it is: If you use the car 100% for business purposes, you NEVER use it to drive to the grocery store or to your friend's house, etc, then it is a deductible business expense. If you use a car party for business use and partly for personal use, than you can deduct the portion of the expense of the car that is for business use, but not the portion that is for personal use. So basically, if you use the car 75% for business purposes and 25% for personal use, you can deduct 75% of the cost and expenses. You can calculate the business use by, (a) Keeping careful records of how much you spent on gas, oil, repairs, etc, tracking the percentage of business use versus percentage of personal use, and then multiplying the cost by the percentage business use and that is the amount you can deduct; or (b) Use the standard mileage allowance, so many cents per mile, which changes every year. Note that the fact that you paid for the car from a business account has absolutely nothing to do with it. (If it did, then everyone could create a small business, open a business account, pay all their bills from there, and all their personal expenses would magically become business expenses.) Just by the way: If you are going to try to stretch the rules on your taxes, business use of a car or personal computer or expenses for a home office are the worst place to do it. The IRS knows that cars and computers are things that can easily be used for either personal or business purposes and so they keep a special eye out on these."
Why is “cheque cashing” a legitimate business?,"In my experience (in the US), the main draw of check-cashing businesses (like ""CheckN2Cash"" is that they will hold your check for a certain period of time.  This is also known as a ""payday loan"".  Rather than bringing them a check someone else has written you, you write them a check yourself, postdated, and they pay you the amount on the check less their fees, and agree not to cash the check until a future date.  So if you don't have the money right now but you need it before your next payday, you visit a check-cashing business and get the money, and it'll be withdrawn from your account after your next paycheck."
Valuing a small business to invest in ,"It should be pretty obvious that without knowing what sort of assets the company owns, and what sort of net earnings are being generated it's impossible to say what a $20k equity investment should get you in terms of ownership percentage.   With that said, you want to look at a few to several years of books, look for trends.  Some things to understand that might be subtle red flags: It's extremely common for early stage investors to essentially make loans rather than strictly buying shares.  In the worst case scenario creditors get to participate in liquidation proceedings before shareholders do.  You may be better off investing in this business via a loan that's convertible to equity at your discretion.   Single owner service companies are difficult because all of the net earnings go to the proprietor and that person maintains all of the relationships.  So taking something like 5 years of net earnings as the value of the company doesn't make much sense because you (or someone else) couldn't just step in and replace the owner.  Granted, you aren't contemplating taking over the business, but it negates using an X years of net earnings valuation method.  When you read about valuation there is a sort of overriding assumption that no single person could topple the operation which couldn't be farther from the truth in single employee service companies.  Additionally, understand that your investment in a single owner company hinges completely on one person's ability and willingness to work. It's really vital to understand the purpose of the funds.  Someone will be hired?  $20,000 couldn't be even six months of wages... Put things in to perspective with a pad, pen and calculator.  Don't invest in the pipe dream of a friend of yours, and DEFINITELY don't hand this person the downpayment for their new house.  The first rule of investing is ""don't lose money,"" this isn't emotional, this is a dollars and cents pragmatic process. Why does the business need this money?  How will you be paid back?   Personally, I think it would be more gratifying to put $20k in a blender and watch it blend, this is probably a horrible investment.  The risk should just be left to credit card companies."
Borrow money to invest in a business venture with equity?,"It's clearly a risk, but is it any different than investing in your own business? Yes, it is different.  If you own a business, you determine the path of the business.  You determine how much risk the business takes.  You can put in extra effort to try to make the business work.  You can choose to liquidate to preserve your capital.   If you invest without ownership, perhaps the founder retains a 50% plus one share stake, then whomever controls the business controls all those things.  So you have all the risks of owning the business (in terms of things going wrong) without the control to make things go right.  This makes investing in someone else's business inherently riskier.   Another problem that can occur is that you could find out that the business is fraudulent.  Or the business can become fraudulent.  Neither of those are risks if you are the business owner.  You won't defraud yourself.   Angel investing, that is to say investing in someone else's startup, is inherently risky.  This is why it is difficult to find investors, even though some startups go on to become fabulously wealthy (Google, YouTube, Facebook, Twitter, etc.).  Most startups fail.  They offer the possibility of great returns because it's really hard to determine which ones will fail and which will succeed.  Otherwise the business would just take out the same loan that Jane's getting, and leave Jane out of it."
Why can't online transactions be completed outside of business hours?,"Generally, unless you're doing a wire transfer, bank transactions are processed in batches overnight. So the credit card company won't be able to confirm your transfer until the next business day (it may take even longer for them to actually receive the money)."
Full-time work + running small side business: Best business structure for taxes?,"A tax return is a document you sign and file with the government to self-report your tax obligations. A tax refund is the payment you receive from the government if your payments into the tax system exceeded your obligations.  As others have mentioned, if an extra $2K in income generated $5K in taxes, chances are your return was prepared incorrectly. The selection of an appropriate entity type for your business depends a lot on what you expect to see over the next several years in terms of income and expenses, and the extent to which you want or need to pay for fringe benefits or make pretax retirement contributions from your business income. There are four basic flavors of entity which are available to you: Sole proprietorship. This is the simplest option in terms of tax reporting and paperwork required for ongoing operations. Your net (gross minus expenses) income is added to your wage income and you'll pay tax on the total. If your wage income is less than approximately $100K, you'll also owe self-employment tax of approximately 15% in addition to income tax on your business income. If your business runs at a loss, you can deduct the loss from your other income in calculating your taxable income, though you won't be able to run at a loss indefinitely. You are liable for all of the debts and obligations of the business to the extent of all of your personal assets. Partnership. You will need at least two participants (humans or entities) to form a partnership. Individual items of income and expense are identified on a partnership tax return, and each partner's proportionate share is then reported on the individual partners' tax returns. General partners (who actively participate in the business) also must pay self-employment tax on their earnings below approximately $100K. Each general partner is responsible for all of the debts and obligations of the business to the extent of their personal assets. A general partnership can be created informally or with an oral agreement although that's not a good idea. Corporation. Business entities can be taxed as ""S"" or ""C"" corporations. Either way, the corporation is created by filing articles of incorporation with a state government (doesn't have to be the state where you live) and corporations are typically required to file yearly entity statements with the state where they were formed as well as all states where they do business. Shareholders are only liable for the debts and obligations of the corporation to the extent of their investment in the corporation. An ""S"" corporation files an information-only return similar to a partnership which reports items of income and expense, but those items are actually taken into account on the individual tax returns of the shareholders. If an ""S"" corporation runs at a loss, the losses are deductible against the shareholders' other income.  A ""C"" corporation files a tax return more similar to an individual's. A C corporation calculates and pays its own tax at the corporate level. Payments from the C corporation to individuals are typically taxable as wages (from a tax point of view, it's the same as having a second job) or as dividends, depending on how and why the payments are made. (If they're in exchange for effort and work, they're probably wages - if they're payments of business profits to the business owners, they're probably dividends.) If a C corporation runs at a loss, the loss is not deductible against the shareholders' other income.  Fringe benefits such as health insurance for business owners are not deductible as business expenses on the business returns for S corps, partnerships, or sole proprietorships. C corporations can deduct expenses for providing fringe benefits.  LLCs don't have a predefined tax treatment - the members or managers of the LLC choose, when the LLC is formed, if they would like to be taxed as a partnership, an S corporation, or as a C corporation. If an LLC is owned by a single person, it can be considered a ""disregarded entity"" and treated for tax purposes as a sole proprietorship. This option is not available if the LLC has multiple owners.  The asset protection provided by the use of an entity depends quite a bit on the source of the claim. If a creditor/plaintiff has a claim based on a contract signed on behalf of the entity, then they likely will not be able to ""pierce the veil"" and collect the entity's debts from the individual owners. On the other hand, if a creditor/plaintiff has a claim based on negligence or another tort-like action (such as sexual harassment), then it's very likely that the individual(s) involved will also be sued as individuals, which takes away a lot of the effectiveness of the purported asset protection. The entity-based asset protection is also often unavailable even for contract claims because sophisticated creditors (like banks and landlords) will often insist the the business owners sign a personal guarantee putting their own assets at risk in the event that the business fails to honor its obligations.  There's no particular type of entity which will allow you to entirely avoid tax. Most tax planning revolves around characterizing income and expense items in the most favorable ways possible, or around controlling the timing of the appearance of those items on the tax return."
"New vending route business, not sure how to determine taxes","You're not paying taxes three times but you are paying three different taxes (or more). Sales tax is a business expense, just like costs of goods sold or interest on a loan.  Then, depending on how you structure the business, the net income of the business just hits you personally and you pay income taxes.  You can work with a tax person to lend some efficiency to this on a long term basis, but it's not like you pay all the taxes against your gross receipts. Whether or not you can make this profitable is a whole different issue."
